max_depth,n_estimators,accuracy
10,200,0.7395225464190981
10,400,0.7596816976127321
10,600,0.763395225464191
10,800,0.7655172413793103
10,1000,0.7644562334217506
15,200,0.773474801061008
15,400,0.7814323607427056
15,600,0.7835543766578249
15,800,0.7862068965517242
15,1000,0.7846153846153846
20,200,0.7840848806366048
20,400,0.7925729442970822
20,600,0.7994694960212202
20,800,0.8
20,1000,0.7968169761273209
25,200,0.7989389920424403
25,400,0.803183023872679
25,600,0.8106100795755968
25,800,0.8106100795755968
25,1000,0.8074270557029177
30,200,0.8037135278514589
30,400,0.8122015915119364
30,600,0.8185676392572945
30,800,0.8201591511936339
30,1000,0.8185676392572945
35,200,0.8180371352785146
35,400,0.823342175066313
35,600,0.8291777188328913
35,800,0.8275862068965517
35,1000,0.8286472148541114
40,200,0.8259946949602122
40,400,0.8323607427055703
40,600,0.8350132625994695
40,800,0.8366047745358091
40,1000,0.83342175066313
45,200,0.8318302387267904
45,400,0.8381962864721485
45,600,0.8408488063660478
45,800,0.8376657824933686
45,1000,0.8408488063660478
50,200,0.8307692307692308
50,400,0.8429708222811672
50,600,0.8424403183023873
50,800,0.839787798408488
50,1000,0.8413793103448276
55,200,0.843501326259947
55,400,0.8472148541114058
55,600,0.8503978779840848
55,800,0.846684350132626
55,1000,0.8472148541114058
60,200,0.8413793103448276
60,400,0.8450928381962864
60,600,0.8488063660477454
60,800,0.8450928381962864
60,1000,0.8450928381962864
65,200,0.843501326259947
65,400,0.8546419098143236
65,600,0.8578249336870026
65,800,0.8588859416445623
65,1000,0.8578249336870026
70,200,0.8413793103448276
70,400,0.8509283819628647
70,600,0.8578249336870026
70,800,0.8546419098143236
70,1000,0.8551724137931035
